movie_name,post_data,likes,date posted,post_text,sentiment_score,AboutMovie
Avatar: The Way of Water,0,2022-12-15T14:43:00.000Z,==== Jemaine Clement ==== 109: The BFG 316: Moana SF-152: Lego Batman 406: Avatar: The Way of Water,0.0,False
Avatar: The Way of Water,0,2022-12-14T23:51:47Z,"I keep seeing all these glowing reviews for Avatar: The Way of Water and the pessimist in me just keeps thinking ""It cannot POSSIBLY be that good. There's just no way.""  I mean I guess I'll find out once I get around to seeing it. Gonna give it a shot. Hope it surprises me.",0.1292,True
Avatar: The Way of Water,0,2022-12-14T23:00:00Z,HENRY CAVILL   “Avatar: The Way of Water” Premiere  December 12 2022,0.0,False
Avatar: The Way of Water,0,2022-12-14T14:44:00.000Z,==== Kate Winslet ==== 82: Titanic 173: Sense and Sensibility 190: The Holiday 362: Holy Smoke! 406: Avatar: The Way of Water,0.0,False
Avatar: The Way of Water,0,2022-12-14T13:00:05Z,Avatar: The Way of Water — The Return of James Cameron King of Sequels https://thetwingeeks.com/2022/12/14/avatar-the-way-of-water-the-return-of-james-cameron-king-of-sequels/,0.0,False
Avatar: The Way of Water,0,2022-12-13T18:24:26.000Z,==== Sam Worthington ==== ==== Joel David Moore ==== ==== Matt Gerald ==== 85: Avatar 406: Avatar: The Way of Water,0.0,False
Avatar: The Way of Water,0,2022-12-12T15:58:19Z,I successfully rescheduled a dental cleaning so I could see Avatar The Way of Water in high frame rate 3D with Dolby Atmos. With how fast my dentist fills up with appointments I'm counting that as a Christmas miracle.,0.37,False
Avatar: The Way of Water,0,2022-12-07T19:46:10Z,James Cameron 🤝 trans women on two months of hormones who are about to get many angry replies from transmasc people   (from here: https://www.hollywoodreporter.com/movies/movie-features/james-cameron-interview-avatar-the-way-of-water-franchise-future-1235271483/),0.0,True
Avatar: The Way of Water,0,2022-11-10T14:04:00.000Z,==== Cliff Curtis ==== 48: The Last Airbender 222: The Insider 360: The Piano SF-163: Doctor Sleep 4??: Avatar: The Way of Water,0.0,False
Avatar: The Way of Water,0,2022-11-05T22:30:36Z,I dunno man The Great Santini was kind of abusive...  (Sam Worthington in @nytimes on Avatar: The Way of Water.),0.7,True
Avatar: The Way of Water,0,2022-12-13T18:24:26.000Z,==== Sam Worthington ==== ==== Joel David Moore ==== ==== Matt Gerald ==== 85: Avatar 406: Avatar: The Way of Water,0.0,False
Avatar: The Way of Water,0,2022-12-12T15:58:19Z,I successfully rescheduled a dental cleaning so I could see Avatar The Way of Water in high frame rate 3D with Dolby Atmos. With how fast my dentist fills up with appointments I'm counting that as a Christmas miracle.,0.37,False
Avatar: The Way of Water,0,2022-12-07T19:46:10Z,James Cameron 🤝 trans women on two months of hormones who are about to get many angry replies from transmasc people   (from here: https://www.hollywoodreporter.com/movies/movie-features/james-cameron-interview-avatar-the-way-of-water-franchise-future-1235271483/),0.0,True
